[ 2020-04-15 22:55:38 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 22:58:24 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 22:58:24 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 22:58:48 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 22:58:48 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 22:58:53 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 22:58:53 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 22:59:15 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 22:59:15 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 23:10:49 ] 读取缓存失败, redis: nil
[ 2020-04-15 23:10:49 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 23:10:51 ] 获取阅读量失败, redis: client is closed
[ 2020-04-15 23:10:51 ] 添加阅读量失败, redis: client is closed
[ 2020-04-15 23:11:13 ] 获取阅读量失败, redis: nil
[ 2020-04-15 23:11:13 ] 添加阅读量失败, redis: client is closed
[ 2020-04-15 23:14:47 ] 获取阅读量失败, redis: nil
[ 2020-04-15 23:14:47 ] 添加阅读量失败, redis: client is closed
[ 2020-04-15 23:16:47 ] 获取阅读量失败, redis: nil
[ 2020-04-15 23:16:47 ] 添加阅读量失败, redis: client is closed
[ 2020-04-15 23:17:24 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 23:17:24 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 23:17:30 ] 读取缓存失败, redis: client is closed
